User_0	UK	35	m	1035849600
User_1	UK	31	m	1041033600
User_2	US	43	m	1050364800
User_3	AT	30	m	1051488000
User_4	US	36	m	1057536000
User_5	IE	-1	m	1057622400
User_6	DE	-1	f	1058054400
User_7	BR	31	m	1058659200
User_8	ES	38	m	1058832000
User_9	IT	45	m	1059436800
User_10	AU	29	m	1060041600
User_11	US	36	m	1044900323
User_12	US	33	m	1044975645
User_13	UK	48	m	1045601053
User_14	US	28	m	1046053833
User_15	US	30	m	1046058189
User_16	CA	-1	m	1048369968
User_17	UK	29	m	1048763832
User_18	UK	33	m	1049058090
User_19	DK	31	m	1049324781
User_20	RU	30	m	1049929668
User_21	US	29	f	1053996877
User_22	US	30	f	1054001910
User_23	UK	36	m	1054542488
User_24	DE	27	m	1054640719
User_25	BR	35	m	1054844345
User_26	CH	27	m	1055274811
User_27	JP	37	m	1055398710
User_28	US	-1	m	1055718083
User_29	UK	-1	m	1055771470
User_30	US	30	m	1056069298
User_31	US	22	m	1056597163
User_32	UK	40	m	1056979920
User_33	US	25	m	1057042335
User_34	US	53	m	1057177534
User_35	NO	-1	f	1057616875
User_36	UK	29	m	1058126374
User_37	UK	27	m	1064081153
User_38	US	-1	m	1067991101
User_39	UK	39	m	1069362513
User_40	BE	26	m	1070809041
User_41	SE	28	m	1070924042
User_42	US	26	m	1071078856
User_43	SE	31	m	1071605554
User_44	DK	36	m	1071676696
User_45	US	37	m	1071689041
User_46	DE	27	m	1073142372
User_47	US	33	m	1073249280
User_48	UK	33	m	1073506252
User_49	UK	30	m	1073756620
User_50	CA	26	m	1073886871
User_51	FI	-1	m	1073900674
User_52	AU	24	f	1073908193
User_53	UK	32	m	1073949620
User_54	US	27	m	1073974962
User_55	UK	24	m	1074025115
User_56	US	30	m	1074157168
User_57	HU	28	m	1074300680
User_58	US	29	m	1074544061
User_59	DE	-1	m	1074951805
User_60	US	21	m	1074980139
User_61	US	-1	m	1075835454
User_62	NO	25	m	1077364190
User_63	UK	25	f	1077470051
User_64	UK	27	m	1077474833
User_65	CA	27	m	1078727800
User_66	DE	26	m	1078844389
User_67	US	28	m	1079219071
User_68	CA	36	m	1079228560
User_69	UK	35	m	1079287745
User_70	DE	26	f	1079296363
User_71	US	24	m	1079319977
User_72	US	32	m	1079385795
User_73	RU	31	m	1079573026
User_74	AQ	28	m	1079588719
User_75	RU	29	f	1079623684
User_76	CZ	30	m	1079694011
User_77	DE	25	m	1079707985
User_78	DE	30	m	1079743160
User_79	NO	26	m	1079803303
User_80	US	23	m	1079923714
User_81	BR	-1	m	1080023674
User_82	US	27	f	1080153453
User_83	NL	47	f	1080168885
User_84	US	94	m	1080178024
User_85	HU	26	m	1080494653
User_86	US	26	m	1080510220
User_87	SE	38	m	1080545544
User_88	UK	32	m	1080571681
User_89	SE	28	m	1080573272
User_90	NL	30	m	1080584770
User_91	UK	-1	f	1080605873
User_92	NL	35	m	1080869718
User_93	LV	26	m	1080911220
User_94	NL	37	m	1080949407
User_95	AQ	0	m	1080949418
User_96	BE	28	m	1081007048
User_97	FI	27	m	1081047278
User_98	JP	37	f	1081094420
User_99	US	27	m	1081148757
User_100	NL	27	m	1081155008
User_101	ZA	35	m	1081159664
User_102	ES	25	m	1081210429
User_103	RU	33	m	1081299664
User_104	US	26	f	1081320648
User_105	AU	27	m	1081327841
User_106	NL	26	f	1081334497
User_107	SE	29	m	1081374184
User_108	US	26	m	1081377867
User_109	UK	26	m	1081438688
User_110	IL	25	m	1081520970
User_111	US	30	m	1081555591
User_112	FI	47	m	1081611787
User_113	US	40	m	1081647920
User_114	FI	35	m	1081676662
User_115	NL	26	m	1081712088
User_116	US	29	m	1081977478
User_117	SE	31	m	1082041062
User_118	UK	42	m	1082131610
User_119	CA	-1	m	1082163197
User_120	DE	27	m	1082219379
User_121	US	28	m	1082223310
User_122	NZ	35	m	1082227204
User_123	US	30	m	1082341632
User_124	DE	31	m	1082379683
